Name of University;Country;Continent;Exchange Program;Degree Level;Term Dates;Approximate Places Available;Requirements;University URL;Latitude;Longitude;Testimonials
Pontificia Universidad Católica de Chile, Facultad de Economía y Administración;Chile;South America;Partner University;Bachelor/Master;August - December, March - July;"Bachelor: 1; Master: 1";Spanish B1 at time of HSG application deadline - language B1 level (or higher) confirmation letter from Centro Latin Americano (CLS) of the University of St. Gallen is sufficient. Spanish B2 at time of host university application deadline;https://economiayadministracion.uc.cl;-33.49700088;-70.61111678;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidad Adolfo Ibañez;Chile;South America;Partner University/CEMS;Bachelor/Master;"Bachelor: August - December, March - July; Master: September - December, March - May, June - September; ";"Bachelor: 4; Master: no";"Courses in Spanish are free of charge - B2 level recommended; Courses in English require fees; Only Santiago de Chile Campus in Autumn semester";https://www.uai.cl;-33.48329632;-70.52724928;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Shanghai Jiao Tong University, School of International and Public Affairs;China;Asia;Partner University;Bachelor/Master;September - January, February - June;Master: 3;"Mind. grade average of 4.75; Courses in English only on Master's level; Only non-Chinese citizens may apply";https://en.sipa.sjtu.edu.cn;31.19952967;121.4297558;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Shanghai Jiao Tong University, Antai College of Economics and Management;China;Asia;Partner University;Bachelor/Master;September - January, February - July;"Bachelor: 2; Master: 4";Chinese nationals may not apply;https://www.acem.sjtu.edu.cn/en/;31.20515406;121.4260899;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Peking University, HSBC Business School, Shenzhen;China;Asia;Partner University;Master;September - January, February - June;Master: 6;"Located in Shenzhen; Chinese nationals are ineligible";https://english.phbs.pku.edu.cn;22.58962172;113.9733892;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Chinese University of Hong Kong, Shenzhen;China;Asia;Partner University;Bachelor/Master;August - December, January - May;"Bachelor: 4; Master: 6";"Course choice within School of Management and Economics; Located in SHENZHEN";https://www.cuhk.edu.cn/en;22.70529303;114.2475235;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Renmin University of China, Renmin Business School;China;Asia;Partner University;Bachelor;September - January, February - June;Bachelor: 4;Chinese nationals may not apply;https://en.rmbs.ruc.edu.cn;22.5445297;114.0957239;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
City University of Hong Kong, School of Law;China;Asia;Partner University;Master;September - January;N/A;"Autumn semester only, English courses in fall; Master MLaw, MLE and MIL only! ";https://www.cityu.edu.hk/slw/;22.3361399;114.1742295;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Fudan University, School of Management;China;Asia;Partner University;Bachelor/Master;"Bachelor: September - January, February - June; Master: September - January";"Bachelor: 3; Master: 3";"At least one year work experience; Only Management School courses; Chinese nationals may not apply";https://www.fdsm.fudan.edu.cn/en/;31.29698188;121.5012148;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Chinese University of Hong Kong, Hong Kong;China;Asia;Partner University;Bachelor/Master;"Bachelor: August - December, January - May; Master: September - December, December - March, March - June";"Bachelor: 8; Master: 1";Faculty of Law courses not available;https://www.cuhk.edu.hk/english/index.html;22.4198035;114.2058272;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
CEIBS, China Europe International Business School;China;Asia;Partner University;Master;August - November;Master: 2;fall semester only ;https://www.ceibs.ch;31.23741158;121.5974555;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Peking University, Guanghua School of Management;China;Asia;Partner University;Bachelor/Master;September - January, February - June;"Bachelor: 2; Master: 2";Chinese nationals may not apply;https://en.gsm.pku.edu.cn;40.0172656;116.375066;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Tsinghua University, School of Economics and Management;China;Asia;Partner University/CEMS;Bachelor/Master;September - January, February - June;"Bachelor: 2; Master: 3; CEMS: 1 per term";"Nationals of China, Hong Kong, Taiwan, Macao cannot apply; MBA work experience recommended";https://www.sem.tsinghua.edu.cn/en/;39.99980532;116.3324416;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
