Name of University;Country;Continent;Exchange Program;Degree Level;Term Dates;Approximate Places Available;Requirements;University URL;Latitude;Longitude;Testimonials
Cornell University, Johnson Graduate School of Business;USA;North America;Partner University/Freemover;Master;August - December, January - May;Master: 4;"Two years work experience recommended; Only TOEFL or IELTS accepted";https://www.johnson.cornell.edu;42.44586937;-76.48280553;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Claremont Graduate University, Drucker Graduate School of Management;USA;North America;Partner University;Master;August - December, January - May;Master: 1;Only TOEFL or IELTS accepted;https://www.cgu.edu/school/drucker-school-of-management/;34.10372427;-117.7114536;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Washington State University Pullman;USA;North America;Partner University;Bachelor;August - December, January - May;Bachelor: 4;Only TOEFL or IELTS accepted;https://wsu.edu;46.73370684;-117.1449963;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Duke University, Fuqua School of Business;USA;North America;Partner University;Master;September - December, January - May;Master: 1;"Only TOEFL or IELTS accepted; We do not host exchange students with US work/educational experience or US citizenship";https://www.fuqua.duke.edu;35.99865971;-78.9456008;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Indiana University, Kelley School of Business;USA;North America;Partner University;Master;August - December, January - May;Master: 2;"Exchange in Spring only; Only TOEFL or IELTS accepted";https://kelley.iu.edu;39.17253713;-86.51900485;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
New York University, Stern School of Business;USA;North America;Partner University/Freemover;Master;September - December, January - May;Master: no;"2 years full-time work experience; Only TOEFL or IELTS accepted";https://www.stern.nyu.edu;40.72919774;-73.99571486;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of California Los Angeles;USA;North America;Partner University/Freemover;Master;September - December, January - March;Master: no;Only TOEFL or IELTS accepted;https://www.ucla.edu;35.40603193;-114.7524429;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Virginia, Darden School of Business;USA;North America;Partner University;Master;August - December, January - May;Master: 3;Only TOEFL or IELTS accepted;https://www.darden.virginia.edu;38.05253;-78.51409693;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Chicago, Booth School of Business;USA;North America;Partner University/Freemover;Master; January - March, March - June;Master: 1;"Spring semester only; More courses and housing available during spring term; Only TOEFL or IELTS accepted";https://www.chicagobooth.edu;41.78943716;-87.59520679;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Emory University, School of Law;USA;North America;Partner University;Bachelor/Master;August - December, January - May;No ;"Bachelor: BLS/BLE only; Master: MLS/MLE/MIL only; Only TOEFL or IELTS accepted";https://law.emory.edu;33.78990792;-84.31918713;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Michigan, Ross School of Business;USA;North America;Partner University;Bachelor/Master;September - December, January - April;Total: 6;Only TOEFL or IELTS accepted;https://michiganross.umich.edu;42.27308021;-83.73820623;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Minnesota, Carlson School of Management;USA;North America;Partner University;Bachelor/Master;September - December, January - May;Total: 4;Only TOEFL or IELTS accepted;https://carlsonschool.umn.edu;44.97041255;-93.24481195;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of North Carolina, Kenan-Flagler Business School;USA;North America;Partner University;Master;August - December, January - May;Master: 2;Only TOEFL or IELTS accepted;https://www.kenan-flagler.unc.edu;35.89984362;-79.04554486;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Southern California, Marshall School of Business;USA;North America;Partner University;Bachelor/Master;August - December, January - May;Bachelor: 6, Master: 1;Only TOEFL or IELTS accepted;https://www.marshall.usc.edu;34.01899085;-118.2853302;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Texas at Austin, McCombs Business School;USA;North America;Partner University;Bachelor/Master;August - December, January - May;Total: 2;Only TOEFL or IELTS accepted;https://www.mccombs.utexas.edu;30.2843223;-97.73731861;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Virginia, McIntire School of Commerce;USA;North America;Partner University;Bachelor;August - December, January - May;Bachelor: 3;"Business courses ONLY; Only TOEFL or IELTS accepted";https://www.commerce.virginia.edu;38.03322393;-78.50358053;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
IESA - Instituto de Estudios Superiores de Administracion;Venezuela;South America;Partner University;Master;July - September, October - December, January - March, April - June;No ;"Spanish B1 by application, B2 by start; Only TOEFL or IELTS accepted";https://www.iesa.edu.ve;10.51567867;-66.89453778;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Pontificia Universidad Catolica Argentina;Argentina;South America;Freemover;Bachelor/Master;;;;https://uca.edu.ar/es/home;-34.61386788;-58.36570043;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad Argentina de la Empresa;Argentina;South America;Freemover;Bachelor/Master;;;;https://www.uade.edu.ar;-34.61685372;-58.38147872;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad Catolica de Cordoba;Argentina;South America;Freemover;Bachelor/Master;;;;https://www.ucc.edu.ar;-31.41888153;-64.18674974;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad de Belgrano;Argentina;South America;Freemover;Bachelor/Master;;;;https://www.ub.edu.ar;-34.56384736;-58.44361019;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad de Buenos Aires;Argentina;South America;Freemover;Bachelor/Master;;;;https://www.uba.ar;-34.59590466;-58.37395844;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad del CEMA;Argentina;South America;Freemover;Bachelor/Master;;;;https://ucema.edu.ar;-34.5985536;-58.37191805;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad Tecnológica Nacional;Argentina;South America;Freemover;Bachelor/Master;;;;https://utn.edu.ar/es/;-34.60448899;-58.37279692;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Bond University;Australia;Oceania;Freemover;Bachelor/Master;;;;https://bond.edu.au;-28.07296084;153.4171634;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Edith Cowan University;Australia;Oceania;Freemover;Bachelor/Master;;;;https://www.ecu.edu.au;-31.7521045;115.773473;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Griffith University;Australia;Oceania;Freemover;Bachelor/Master;;;;https://www.griffith.edu.au;-27.96296847;153.3813343;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
James Cook University;Australia;Oceania;Freemover;Bachelor/Master;;;;https://www.jcu.edu.au;-19.32577444;146.7568832;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Macquarie University;Australia;Oceania;Freemover;Bachelor/Master;;;;https://www.mq.edu.au;-33.77364775;151.1126371;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Murdoch University;Australia;Oceania;Freemover;Bachelor/Master;;;;https://www.murdoch.edu.au;-32.06772811;115.8355852;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Queensland University of Technology;Australia;Oceania;Freemover;Bachelor/Master;;;;https://www.qut.edu.au;-27.4771608;153.0277129;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
RMIT University Melbourne;Australia;Oceania;Freemover;Bachelor/Master;;;;https://www.rmit.edu.au;-37.8081805;144.9647111;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of Melbourne;Australia;Oceania;Freemover;Bachelor/Master;;;;https://www.unimelb.edu.au;-37.79782028;144.9628194;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of New South Wales, Australian School of Business, AGSM;Australia;Oceania;Freemover;Bachelor/Master;;;;https://www.unsw.edu.au/business/our-schools/agsm;-33.91698805;151.2313164;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of Newcastle;Australia;Oceania;Freemover;Bachelor/Master;;;;https://www.newcastle.edu.au;-32.8927319;151.7041891;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of Tasmania;Australia;Oceania;Freemover;Bachelor/Master;;;;https://www.utas.edu.au;-42.90393891;147.3247933;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of Technology Sydney;Australia;Oceania;Freemover;Bachelor/Master;;;;https://www.uts.edu.au;-33.88355726;151.2006374;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Karl-Franzens-Universität Graz;Austria;Europe;Freemover;Bachelor/Master;;;;https://www.uni-graz.at/de/;47.07823192;15.45158404;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Montanauniversität Leoben;Austria;Europe;Freemover;Bachelor/Master;;;;https://www.unileoben.ac.at;47.38483161;15.09349217;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Université de Liège;Belgium;Europe;Freemover;Bachelor/Master;;;;https://www.uliege.be/cms/c_8699436/fr/uliege?id=c_8699436;50.64096345;5.577152838;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Pontificia Universidade Catolica do Rio de Janeiro;Brazil;South America;Freemover;Bachelor/Master;;;;https://www.puc-rio.br;-22.97970677;-43.23290848;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Presbyterianische Universität Mackenzie;Brazil;South America;Freemover;Bachelor/Master;;;;https://www.mackenzie.br;-23.54791268;-46.65005347;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidade Federal de Minas Gerais;Brazil;South America;Freemover;Bachelor/Master;;;;https://ufmg.br;-19.85800274;-43.96586387;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidade Federal do Rio Grande do Sul;Brazil;South America;Freemover;Bachelor/Master;;;;https://www.furg.br;-32.0719295;-52.16068791;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Concordia University;Canada;North America;Freemover;Bachelor/Master;;;;https://www.concordia.ca;46.66523634;-69.96662564;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Saint-Mary's University, Sobey School of Business;Canada;North America;Freemover;Bachelor/Master;;;;https://www.smu.ca/sobey/;44.63130248;-63.58145643;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Simon Fraser University;Canada;North America;Freemover;Bachelor/Master;;;;https://www.sfu.ca;49.28521438;-122.9190753;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of Calgary;Canada;North America;Freemover;Bachelor/Master;;;;https://www.ucalgary.ca;51.07873788;-114.1303316;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad del Desarrollo;Chile;South America;Freemover;Bachelor/Master;;;;https://www.udd.cl;-33.23921836;-70.48281033;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Beijing Normal University;China;Asia;Freemover;Bachelor/Master;;;;https://english.bnu.edu.cn;39.96210991;116.3670125;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
City University of Hong Kong;China;Asia;Freemover;Bachelor/Master;;;;https://www.cityu.edu.hk;22.33723266;114.173235;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Donghua University;China;Asia;Freemover;Bachelor/Master;;;;https://english.dhu.edu.cn;31.20379484;121.4153624;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Hong Kong Baptist University;China;Asia;Freemover;Bachelor/Master;;;;https://www.hkbu.edu.hk;22.34110648;114.1802834;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Shanghai University;China;Asia;Freemover;Bachelor/Master;;;;https://en.shu.edu.cn;31.31492273;121.3831;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Sun Yat-sen University;China;Asia;Freemover;Bachelor/Master;;;;https://www.sysu.edu.cn/sysuen/index.htm;23.09726869;113.2987416;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Colegio de Estudios Superiores de Administracion CESA;Colombia;South America;Freemover;Bachelor/Master;;;;https://www.cesa.edu.co;4.621964662;-74.06571672;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad de Medellin;Colombia;South America;Freemover;Bachelor/Master;;;;https://udemedellin.edu.co;6.234828926;-75.60101935;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad EIA;Colombia;South America;Freemover;Bachelor/Master;;;;https://www.eia.edu.co;6.160232115;-75.50535563;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad Icesi;Colombia;South America;Freemover;Bachelor/Master;;;;https://www.icesi.edu.co/es/;3.342119819;-76.52984026;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad Nacional de Colombia;Colombia;South America;Freemover;Bachelor/Master;;;;https://medellin.unal.edu.co;6.261657449;-75.5771497;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad Pontificia Bolivariana;Colombia;South America;Freemover;Bachelor/Master;;;;https://www.upb.edu.co/es/home;6.243492843;-75.5851569;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad Nacional Costa Rica;Costa Rica;North America;Freemover;Bachelor/Master;;;;https://www.una.ac.cr;9.998965444;-84.11192552;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of Split;Croatia;Europe;Freemover;Bachelor/Master;;;;https://www.unist.hr/en;43.51154675;16.46905439;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of Zagreb;Croatia;Europe;Freemover;Bachelor/Master;;;;https://www.unizg.hr/homepage/;45.77789278;15.96485628;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Charles University of Prague;Czech Republic;Europe;Freemover;Bachelor/Master;;;;https://cuni.cz/UKEN-1.html;50.08724136;14.42420773;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of Copenhagen;Denmark;Europe;Freemover;Bachelor/Master;;;;https://www.ku.dk/english/;55.68033916;12.57283875;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Escuela Politécnica Nacional;Ecuador;South America;Freemover;Bachelor/Master;;;;https://www.epn.edu.ec;-0.210467208;-78.49109918;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad San Francisco de Quito;Ecuador;South America;Freemover;Bachelor/Master;;;;https://www.usfq.edu.ec/es;-0.196782681;-78.43499326;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Universidad Tecnica Particular de Loja;Ecuador;South America;Freemover;Bachelor/Master;;;;https://www.utpl.edu.ec;-0.100450527;-78.27037425;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of Tartu;Estonia;Europe;Freemover;Bachelor/Master;;;;https://ut.ee/et/avaleht;58.38116302;26.72054181;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of Helsinki;Finland;Europe;Freemover;Bachelor/Master;;;;https://www.helsinki.fi/en;60.16957774;24.95093459;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of Oulu;Finland;Europe;Freemover;Bachelor/Master;;;;https://www.oulu.fi/fi;65.05939006;25.46720545;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
University of Turku;Finland;Europe;Freemover;Bachelor/Master;;;;https://www.utu.fi/fi;60.45433249;22.2853429;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Audencia Business School;France;Europe;Freemover;Bachelor/Master;;;;https://www.audencia.com/en;47.24928986;-1.547907742;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
École de Management de Normandie;France;Europe;Freemover;Bachelor/Master;;;;https://www.em-normandie.com;48.89936443;2.307566582;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
ISC Paris Business School, Paris;France;Europe;Freemover;Bachelor/Master;;;;https://www.iscparis.com;48.89279272;2.301370729;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
PSB Paris School of Business;France;Europe;Freemover;Bachelor/Master;;;;https://www.psbedu.paris/en;48.82579552;2.367352148;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Sciences Po Strasbourg;France;Europe;Freemover;Bachelor/Master;;;;https://www.sciencespo-strasbourg.fr;48.57934573;7.757557945;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Université de Caen Basse-Normandie;France;Europe;Freemover;Bachelor/Master;;;;https://www.unicaen.fr;49.19298126;-0.36358268;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Université de la Polynésie Française;France;Europe;Freemover;Bachelor/Master;;;;https://www.upf.pf/fr;-15.64030519;-143.3880204;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Université de Montpellier ;France;Europe;Freemover;Bachelor/Master;;;;https://www.umontpellier.fr;43.61649307;3.873010422;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Université de Valenciennes et du Hainaut-Cambrésis;France;Europe;Freemover;Bachelor/Master;;;;https://www.uphf.fr;50.32636896;3.516038534;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Université Jean Moulin;France;Europe;Freemover;Bachelor/Master;;;;https://www.univ-lyon3.fr;45.74966182;4.871066141;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Université Paris I Panthéon Sorbonne;France;Europe;Freemover;Bachelor/Master;;;;https://www.pantheonsorbonne.fr;48.84698158;2.346140808;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Caucasus University;Georgia;Europe;Freemover;Bachelor/Master;;;;https://cu.edu.ge;41.70714722;44.81145403;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
Ernst-Moritz-Arndt-Universität;Germany;Europe;Freemover;Bachelor/Master;;;;https://www.uni-greifswald.de;54.09510369;13.37487368;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=en&showOnlyKzSearch=1&kz_search=G
